агитировать	сагитировать
затевать	затеять
затеваться	затеяться
затекать	затечь
затемнять	затемнить
затемняться	затемниться
затенять	затенить
затепливать	затеплить
затеривать	затерять
затериваться	затеряться
затеснять	затеснить
затесывать	затесать
затесываться	затесаться
затиранивать	затиранить
затирать	затереть
затираться	затереться
затискивать	затиснуть
затискивать*	затискать
затискиваться	затиснуться
затихать	затихнуть
затмевать	затмить
затмеваться	затмиться
затоваривать	затоварить
затовариваться	затовариться
затоплять	затопить*
затопляться	затопиться*
заторачивать	заторочить
заторговывать	заторговать
затормаживать	затормозить*
затормаживаться	затормозиться
заторцовывать	заторцевать
заточать	заточить*
заточаться	заточиться*
затравливать	затравить
затрагивать	затронуть
затрамбовывать	затрамбовать
затрачивать	затратить
затрепывать	затрепать
затрепываться	затрепаться
затруднять	затруднить
затрудняться	затрудниться
затуманивать	затуманить
затуманиваться	затуманиться
затуплять	затупить*
затупляться	затупиться*
затухать	затухнуть
затушевывать	затушевать
затушевываться	затушеваться
затыкать	заткнуть
затыкаться	заткнуться
затюковывать	затюковать
затягивать	затянуть
затягиваться	затянуться
зауживать	заузить
заутюживать	заутюжить
заутюживаться	заутюжиться
заучивать	заучить
заучиваться	заучиться
заушать	заушить
зафрахтовывать	зафрахтовать*
захаивать	захаять
захапывать	захапать
захаркивать	захаркать
захваливать	захвалить
захватывать	захватить
захватывать*	захватать
захламливать	захламить*
захламлять	захламить
захлебывать	захлебнуть
захлебываться	захлебнуться
захлестывать	захлестнуть
захлестывать*	захлестать
захлестываться	захлестнуться
захлопывать	захлопнуть
захлопываться	захлопнуться
заходить	зайти
заходиться	зайтись
зацапывать	зацапать
зацветать	зацвести
зацеловывать	зацеловать
зацеплять	зацепить*
зацепляться	зацепиться*
зачаливать	зачалить
зачаровывать	зачаровать
зачеркивать	зачеркнуть
зачеркивать*	зачеркать
зачеркивать*	зачеркать
зачернять	зачернить
зачерпывать	зачерпнуть
зачерпываться	зачерпнуться
зачерчивать	зачертить
зачесывать	зачесать
зачесываться	зачесаться
зачехлять	зачехлить
зачинать	зачать
зачинаться	зачаться
зачинивать	зачинить
зачислять	зачислить
зачисляться	зачислиться
зачитывать	зачитать
зачитывать*	зачесть
зачитываться	зачитаться
зачитываться*	зачесться
зачищать	зачистить
зашаркивать	зашаркать
зашвартовывать	зашвартовать
зашвартовываться	зашвартоваться
зашвыривать	зашвырнуть
зашвыривать*	зашвырять
зашибать	зашибить
зашибаться	зашибиться
зашивать	зашить
зашиваться	зашиться
зашифровывать	зашифровать*
зашлифовывать	зашлифовать
зашнуровывать	зашнуровать*
зашнуровываться	зашнуроваться*
зашпаклевывать	зашпаклевать*
зашпаклевываться	зашпаклеваться
зашпандоривать	зашпандорить
зашпиливать	зашпилить
зашпиливаться	зашпилиться
зашпунтовывать	зашпунтовать
заштемпелевывать	заштемпелевать
заштопывать	заштопать*
зашторивать	зашторить
зашториваться	зашториться
заштриховывать	заштриховать*
заштукатуривать	заштукатурить
заштуковывать	заштуковать
защебенивать	защебенить
защелкивать	защелкнуть
защелкиваться	защелкнуться
защемлять	защемить
защеплять	защепить
защипывать	защипать
защипывать	защипнуть
защипываться	защипнуться
защищать	защитить
защищаться	защититься
защуривать	защурить
заявлять	заявить
заявляться	заявиться
звать	позвать
звездиться	вызвездиться
звенеть	зазвенеть
звереть	озвереть
звонить	позвонить
звучать	прозвучать
звякать	звякнуть
здороваться	поздороваться
здороветь	поздороветь
зевать	зевнуть
зеваться	зевнуться
зеленеть	позеленеть
зеленеться	зазеленеться
зеленить	позеленить
зимовать	перезимовать
злить	разозлить
злиться	разозлиться
злорадствовать	позлорадствовать
злоупотреблять	злоупотребить
змеиться	зазмеиться
знакомить	познакомить
знакомиться	познакомиться
знаменовать	ознаменовать
знаменоваться	ознаменоваться
знобить	зазнобить
золотить	позолотить
золотиться	позолотиться
зондировать	прозондировать
зубрить	вызубрить
зудеть	зазудеть
зыкать	зыкнуть
зябнуть	озябнуть
игнорировать	проигнорировать
играть	сыграть
идти	пойти
избавлять	избавить
избавляться	избавиться
избаловывать	избаловать*
избаловываться	избаловаться
избегать	избежать
избегать*	избегнуть
избивать	избить
избиваться	избиться
избирать	избрать
изблевывать	изблевать
избочениваться	избочениться
избывать	избыть
избываться	избыться
изведывать	изведать
извергать	извергнуть
извергаться	извергнуться
извериваться	извериться
извертываться	извернуться*
известковать	заизвестковать
извещать	известить
извивать	извить
извиваться	извиться
извинчивать	извинтить
извинчиваться	извинтиться
извинять	извинить
извиняться	извиниться
извлекать	извлечь
извлекаться	извлечься
изводить	извести
изводиться	известись
изворачиваться	извернуться
извращать	извратить
извращаться	извратиться
извязывать	извязать
изгаживать	изгадить
изгаживаться	изгадиться
изгаляться	изгалиться
изгибать	изогнуть
изгибаться	изогнуться
изгиляться	изгилиться
изгладывать	изглодать
изглаживать	изгладить
изглаживаться	изгладиться
изгнивать	изгнить
изгонять	изгнать
изгорать	изгореть
изготавливать	изготовить
изготавливаться	изготовиться
изготовлять	изготовить*
изготовляться	изготовиться*
изгрызать	изгрызть
изгрязнять	изгрязнить
изгрязняться	изгрязниться
издавать	издать
издаивать	издоить
издаиваться	издоиться
издалбливать	издолбить
издергивать	издергать
издергиваться	издергаться
издерживать	издержать
издерживаться	издержаться
издирать	изодрать
издираться	изодраться
издырявливать	издырявить
издырявливаться	издырявиться
издыхать	издохнуть
изжаливать	изжалить
изжевывать	изжевать
изживать	изжить
изживаться	изжиться
изжигать	изжечь
изжигаться	изжечься
иззубривать	иззубрить
иззубриваться	иззубриться
излавливать	изловить
излагать	изложить
излаживать	изладить
изламывать	изломать
изламываться	изломаться
излениваться	излениться
излетать	излететь
излечивать	излечить
излечиваться	излечиться
изливать	излить
изливаться	излиться
излизывать	излизать
изловчаться	изловчиться
излучать	излучить
излучаться	излучиться
измазывать	измазать
измазываться	измазаться
измалевывать	измалевать
измалывать	измолоть
измалываться	измолоться
измарывать	измарать
измарываться	измараться
измасливать	измаслить
измасливаться	измаслиться
изматывать	измотать
изматываться	измотаться
измачивать	измочить
измачиваться	измочиться
измельчать	измельчить
измельчаться	измельчиться
изменять	изменить
изменяться	измениться
измерять	измерить
измеряться	измериться
изминать	измять
изминаться	измяться
измокать	измокнуть
измолачивать	измолотить
измолачиваться	измолотиться
измочаливать	измочалить
измочаливаться	измочалиться
измусливать	измуслить
измусливаться	измуслиться
измусоливать	измусолить
измусоливаться	измусолиться
измучивать	измучить
измучиваться	измучиться
измызгивать	измызгать
измызгиваться	измызгаться
измыливать	измылить
измыливаться	измылиться
измышлять	измыслить
изнашивать	износить
изнашиваться	износиться
изнеживать	изнежить
изнеживаться	изнежиться
изнемогать	изнемочь
изнизывать	изнизать
изнизываться	изнизаться
изничтожать	изничтожить
изничтожаться	изничтожиться
изнурять	изнурить
изнуряться	изнуриться
изнывать	изныть
изобличать	изобличить
изображать	изобразить
изображаться	изобразиться
изобретать	изобрести
изострять	изострить
изощрять	изощрить
изощряться	изощриться
изрезывать	изрезать
изрезываться	изрезаться
изрекать	изречь
изрешечивать	изрешетить*
изрешечиваться	изрешетиться
изрисовывать	изрисовать
изрисовываться	изрисоваться
изрубать	изрубить
изрывать	изрыть
изрывать*	изорвать
изрываться	изорваться
изрыгать	изрыгнуть
изувечивать	изувечить
изувечиваться	изувечиться
изукрашивать	изукрасить
изукрашиваться	изукраситься
изумлять	изумить
изумляться	изумиться
изучать	изучить
изъедать	изъесть
изъезживаться	изъездиться
изъявлять	изъявить
изъязвлять	изъязвить
изъяснять	изъяснить
изъясняться	изъясниться
изымать	изъять
изыскивать	изыскать
изыскиваться	изыскаться
икать	икнуть
икаться	икнуться
именовать	поименовать
именоваться	поименоваться
имитировать	сымитировать
импровизировать	сымпровизировать
индеветь	заиндеветь
инспектировать	проинспектировать
инструктировать	проинструктировать
интересовать	заинтересовать
интересоваться	поинтересоваться
интриговать	заинтриговать
искажать	исказить
искажаться	исказиться
искалечивать	искалечить*
искалечиваться	искалечиться*
искалывать	исколоть
искалываться	исколоться
искапывать	ископать
искапывать*	искапать
искармливать	искормить
искашиваться	искоситься
исклевывать	исклевать
исключать	исключить
исковеркивать	исковеркать*
исковыривать	исковырять
исколачивать	исколотить
исколачиваться	исколотиться
исколупывать	исколупать
исконопачивать	исконопатить
искореживать	искорежить
искореживаться	искорежиться
искоренять	искоренить
искореняться	искорениться
искраивать	искроить
искрашивать	искрошить
искрашивать*	искрасить
искрашиваться	искраситься
искривлять	искривить
искривляться	искривиться
искрить	заискрить
искручивать	искрутить
искручиваться	искрутиться
искупать	искупить
искупаться	искупиться
искуривать	искурить
искуриваться	искуриться
искусывать	искусать
искушать	искусить
искушаться	искуситься
испаивать	испоить
испарять	испарить
испаряться	испариться
испахивать	испахать
испепелять	испепелить
испепеляться	испепелиться
испестрять	испестрить
испещрять	испещрить
испивать	испить
испиливать	испилить
испиливаться	испилиться
исписывать	исписать
исписываться	исписаться
исплевывать	исплевать
испоганивать	испоганить
испоганиваться	испоганиться
исполнять	исполнить
исполняться	исполниться
исполосовывать	исполосовать
исправлять	исправить
исправляться	исправиться
испражняться	испражниться
испрашивать	испросить
испрыскивать	испрыскать
испрямлять	испрямить
испрямляться	испрямиться
испускать	испустить
испытывать	испытать
иссаливать	иссолить
иссаливать*	иссалить
иссаливаться	иссалиться
иссасывать	иссосать
иссверливать	иссверлить
иссверливаться	иссверлиться
иссекать	иссечь
иссекаться	иссечься
исслеживать	исследить
исслюнивать	исслюнить
исстегивать	исстегать
исстилать	исстелить
исстилать*	изостлать
исстирывать	исстирать
исстирываться	исстираться
исстрагивать	исстрогать
исстрагиваться	исстрогаться
исстрачивать	исстрочить
исстрачиваться	исстрочиться
исстреливать	исстрелять
исстругивать	исстругать
исстругиваться	исстругаться
иссушать	иссушить
иссушаться	иссушиться
иссыхать	иссохнуть
иссякать	иссякнуть
истаивать	истаять
истапливать	истопить
истапливаться	истопиться
истаптывать	истоптать
истаптываться	истоптаться
истаскивать	истаскать
истаскиваться	истаскаться
истачивать	источить
истачиваться	источиться
истекать	истечь
истесывать	истесать
истирать	истереть
истираться	истереться
истискивать	истискать
истлевать	истлеть
истолковывать	истолковать
истомлять	истомить
истомляться	истомиться
истончать	истончить
истончаться	истончиться
исторгать	исторгнуть
исторгаться	исторгнуться
источать	источить*
истощать	истощить
истощаться	истощиться
истрачиваться	истратиться
истреблять	истребить
истрепывать	истрепать*
истрепываться	истрепаться*
истыкивать	истыкать
исхитряться	исхитриться
исхлестывать	исхлестать
исхлестываться	исхлестаться
исхлопатывать	исхлопотать
исходить	изойти
исцарапывать	исцарапать
исцарапываться	исцарапаться
исцелять	исцелить
исцеляться	исцелиться
исчезать	исчезнуть
исчеркивать	исчеркать
исчеркивать*	исчеркать
исчерпывать	исчерпать
исчерпываться	исчерпаться
исчерчивать	исчертить
исчерчиваться	исчертиться
исчиркивать	исчиркать
исчислять	исчислить
исчисляться	исчислиться
исшаркивать	исшаркать
исшаркиваться	исшаркаться
исшивать	исшить
исштопывать	исштопать
исщипывать	исщипать
казаться	показаться
какать	покакать
каламбурить	скаламбурить
калечить	искалечить
калечиться	искалечиться
калибровать	откалибровать
калькулировать	скалькулировать
калякать	накалякать
каменеть	окаменеть
камуфлировать	закамуфлировать
канителиться	проканителиться
канифолить	наканифолить
карабкаться	вскарабкаться
карать	покарать
каркать	каркнуть
касаться	коснуться
катать	прокатить
кататься	прокатиться
катить	покатить
катиться	покатиться
качать	качнуть
качаться	качнуться
кашлять	кашлянуть
каяться	покаяться
квакать	квакнуть
квитаться	поквитаться
квохтать	заквохтать
кивать	кивнуть
кидать	кинуть
кидаться	кинуться
кипеть	закипеть
кипятить	вскипятить
кланяться	поклониться
класть	положить
клацать	клацнуть
клевать	клюнуть
клеваться	клюнуться
клеветать	оклеветать
клеиться	склеиться
клеймить	заклеймить
клекотать	заклекотать
кликать	кликнуть
клокотать	заклокотать
клохтать	заклохтать
клубить	заклубить
клубиться	заклубиться
клюкать	клюкнуть
клюкаться	клюкнуться
клянчить	выклянчить
клясться	поклясться
кляузничать	накляузничать
кобениться	закобениться
коверкать	исковеркать
коверкаться	исковеркаться
ковылять	заковылять
ковырять	расковырять
ковыряться	заковыряться
козырять	козырнуть
кокать	кокнуть
кокаться	кокнуться
колачивать	поколачивать
колдовать	наколдовать
колебать	поколебать
колебаться	поколебаться
колесить	исколесить
колоситься	заколоситься
колотить	поколотить
колоть	расколоть
колоться	расколоться
колошматить	исколошматить
колтыхать	заколтыхать
колтыхаться	заколтыхаться
колупать	колупнуть
колыхать	колыхнуть
колыхаться	колыхнуться
командовать	скомандовать
комбинировать	скомбинировать
комбинироваться	скомбинироваться
комкать	скомкать
комментировать	прокомментировать
компилировать	скомпилировать
комплектовать	укомплектовать
комплектоваться	укомплектоваться
компоновать	скомпоновать
компрометировать	скомпрометировать
конопатить	законопатить
консервировать	законсервировать
консервироваться	законсервироваться
конспектировать	законспектировать
конспирировать	законспирировать
конструировать	сконструировать
консультировать	проконсультировать
консультироваться	проконсультироваться
контрить	законтрить
контролировать	проконтролировать
конфузить	сконфузить
конфузиться	сконфузиться
концентрировать	сконцентрировать
концентрироваться	сконцентрироваться
кончать	кончить
кончаться	кончиться
копать	выкопать
копаться	прокопаться
копировать	скопировать
копить	накопить
копнить	скопнить
коптеть	закоптеть
коптить	закоптить
корежить	покорежить
корежиться	покорежиться
кормить	накормить
корнать	обкорнать
коробить	покоробить
коробиться	покоробиться
коротать	скоротать
корректировать	скорректировать
корчевать	выкорчевать
корчить	скорчить
корчиться	скорчиться
коситься	покоситься
коснеть	закоснеть
кособочиться	скособочиться
костенеть	окостенеть
костылять	накостылять
котиться	окотиться
кочевать	перекочевать
коченеть	окоченеть
крапать	закрапать
красить	покрасить
краситься	покраситься
краснеть	прокраснеть
краснеться	закраснеться
красть	украсть
красться	прокрасться
крахмалить	накрахмалить
крепнуть	окрепнуть
крестить	окрестить
креститься	окреститься
криветь	окриветь
кривить	скривить
кривиться	скривиться
критиковать	раскритиковать
кричать	закричать
кричать*	крикнуть
кроить	скроить
кромсать	раскромсать
кропать	накропать
крошить	раскрошить
крошиться	раскрошиться
круглеть	округлеть
кружить	закружить
кружить*	вскружить
кружиться	закружиться
крупнеть	покрупнеть
крутить	скрутить
кручиниться	закручиниться
крякать	крякнуть
кряхтеть	закряхтеть
кувыркать	кувыркнуть
кувыркаться	кувыркнуться
кудахтать	закудахтать
кудрявиться	закудрявиться
кукарекать	закукарекать
куковать	закуковать
кукситься	скукситься
кумекать	скумекать
кумиться	покумиться
купать	искупать
купаться	искупаться
купоросить	прокупоросить
куражиться	покуражиться
курить	закурить
курлыкать	закурлыкать
курсивить	окурсивить
курчавиться	закурчавиться
кусать	укусить
куститься	закуститься
кутать	закутать
кутаться	закутаться
кутить	прокутить
кучерявиться	закучерявиться
кушать	скушать
лазить	полезть
лакать	вылакать
лакировать	отлакировать
лакомить	полакомить
лакомиться	полакомиться
ласкать	приласкать
ласкаться	приласкаться
латать	залатать
лаять	залаять
лаяться	полаяться
лгать	солгать
лебезить	залебезить
леветь	полеветь
легчать	полегчать
леденеть	заледенеть
лежать	лечь*
лениться	облениться
лепетать	пролепетать
лепить	слепить
лепиться	прилепиться
летать	полететь
лечить	вылечить
лечиться	вылечиться
лизать	лизнуть
ликовать	возликовать
линовать	разлиновать
линять	полинять
листать	пролистать
лицевать	перелицевать
лишать	лишить
лишаться	лишиться
лобзать	облобызать
лобзаться	облобызаться
ловить	поймать
ловчить	словчить
ловчиться	наловчиться
ложиться	лечь
ломать	сломать
ломаться	сломаться
лопать	слопать
лопаться	лопнуть
лопотать	залопотать
лузгать	слузгать
лукавить	слукавить
лупить	отлупить
лупцевать	излупцевать
лысеть	облысеть
льнуть	прильнуть
льстить	польстить
льститься	польститься
любить	полюбить
любоваться	полюбоваться
лягать	лягнуть
лягаться	лягнуться
лязгать	лязгнуть
лямзить	слямзить
ляпать	ляпнуть
ляпаться	заляпаться
мазюкать	намазюкать
макать	макнуть
малевать	намалевать
малодушествовать	смалодушествовать
малодушничать	смалодушничать
манить	поманить
марать	замарать
мараться	замараться
мариновать	замариновать
мариноваться	замариноваться
маршировать	промаршировать
маскировать	замаскировать
маскироваться	замаскироваться
мастерить	смастерить
матереть	заматереть
материть	обматерить
материться	выматериться
махать	махнуть
махаться	махнуться
маяться	замаяться
маячить	замаячить
медлить	промедлить
мелеть	обмелеть
мелить	намелить
мелькать	мелькнуть
мельтешить	замельтешить
мельчать	обмельчать
менять	поменять
меняться	поменяться
мерещиться	померещиться
меркнуть	померкнуть
мерцать	замерцать
месить	замесить
метаться	метнуться
метиться	пометиться
мешаться	смешаться
мешкать	замешкать
мигать	мигнуть
миловать	помиловать
мирить	помирить
мириться	помириться
миропомазывать	миропомазать
мнить	возомнить
модулировать	смодулировать
мозжить	размозжить
мозолить	намозолить
мокнуть	намокнуть
молиться	помолиться
молодеть	помолодеть
молотить	смолотить
молоть	смолоть
молчать	замолчать
монтировать	смонтировать
моргать	моргнуть
мордовать	измордовать
морить	уморить
моросить	заморосить
морочить	заморочить
морщить	наморщить
морщиться	сморщиться
мостить	вымостить
моститься	вымоститься
мочить	намочить
мочиться	намочиться
мочь	смочь
мошенничать	смошенничать
мрачнеть	помрачнеть
мстить	отомстить
мужать	возмужать
мурлыкать	промурлыкать
мусорить	намусорить
мутнеть	помутнеть
мутузить	отмутузить
мухлевать	смухлевать
муштровать	вымуштровать
мчать	помчать
мчаться	помчаться
мшить	замшить
мшиться	замшиться
мыть	вымыть
мыться	вымыться
мычать	промычать
мямлить	промямлить
мять	смять
мяться	смяться
мяукать	мяукнуть
набавлять	набавить
набагривать	набагрить
набаловывать	набаловать
набалтывать	наболтать
набегать	набежать
набивать	набить
набиваться	набиться
набирать	набрать
набираться	набраться
набраковывать	набраковать
набрасывать	набросить
набрасывать*	набросать
набрасываться	наброситься
набредать	набрести
набронзировывать	набронзировать
набрызгивать	набрызгать
набухать	набухнуть*
набучивать	набучить
набучивать*	набутить
наваливать	навалить
наваливать*	навалять
наваливаться	навалиться
наваривать	наварить
наващивать	навощить*
навевать	навеять
наведываться	наведаться
навеивать	навеять*
навербовывать	навербовать
наверстывать	наверстать
навертывать	навернуть*
навертываться	навернуться
наверчивать	навертеть
навешивать	навешать
навешивать*	навесить
навещать	навестить
навивать	навить
навиваться	навиться
навинчивать	навинтить
навинчиваться	навинтиться
нависать	нависнуть
навлекать	навлечь
наводить	навести
наводнять	наводнить
наводняться	наводниться
навозить	навезти
наволакивать	наволочить
наволакивать*	наволочь
навораживать	наворожить*
наворачивать	навернуть
наворачивать*	наворотить
наворовывать	наворовать
навыкать	навыкнуть
навьючивать	навьючить*
навьючиваться	навьючиться
навязать	навязнуть
навязывать	навязать
навязываться	навязаться
навяливать	навялить
нагадывать	нагадать
наганивать	нагонять
нагачивать	нагатить
нагибать	нагнуть
нагибаться	нагнуться
наглаживать	нагладить
наглазуривать	наглазурить
наглеть	обнаглеть
нагнаивать	нагноить
нагнаиваться	нагноиться
нагнетать	нагнести
нагнивать	нагнить
наговаривать	наговорить
нагонять	нагнать
нагораживать	нагородить
нагорать	нагореть
наготавливать	наготовить
награждать	наградить
нагребать	нагрести
нагревать	нагреть*
нагреваться	нагреться*
нагримировывать	нагримировать
нагримировываться	нагримироваться
нагромождать	нагромоздить*
нагромождаться	нагромоздиться
нагружать	нагрузить
нагружаться	нагрузиться
нагрунтовывать	нагрунтовать
нагрызать	нагрызть
нагуливать	нагулять
надавливать	надавить
надаивать	надоить
надалбливать	надолбить
надаривать	надарить
надбавлять	надбавить
надбивать	надбить
надвертывать	надвернуть
надвивать	надвить
надвигать	надвинуть
надвигаться	надвинуться
надвязывать	надвязать
надгибать	надогнуть
надгнивать	надгнить
надгрызать	надгрызть
наддавать	наддать
наддалбливать	наддолбить
наддирать	надодрать
надевать	надеть
надеваться	надеться
наделять	наделить
надергивать	надергать
надергивать*	надернуть
надеяться	понадеяться
надирать	надрать
надираться	надраться
надкалывать	надколоть
надкалываться	надколоться
надклеивать	надклеить
надклепывать	надклепать
надковывать	надковать
надкусывать	надкусить
надкусывать*	надкусать
надламывать	надломить
надламывать*	надломать
надламываться	надломиться
надлупливать	надлупить
надмачивать	надмочить
надмокать	надмокнуть
надобиться	понадобиться
надоедать	надоесть
надоумливать	надоумить
надпарывать	надпороть
надпивать	надпить
надпиливать	надпилить
надписывать	надписать
надраивать	надраить
надрастать	надрасти
надрезать	надрезать
надрезывать	надрезать*
надрубать	надрубить
надрывать	надорвать
надрываться	надорваться
надрызгивать	надрызгать
надсаживать	надсадить
надсаживаться	надсадиться
надсверливать	надсверлить
надсекать	надсечь
надставлять	надставить
надстрагивать	надстрогать
надстраивать	надстроить
надстругивать	надстругать
надсыпать	надсыпать
надтесывать	надтесать
надувать	надуть
надуваться	надуться
надумывать	надумать
надшивать	надшить
надъедать	надъесть
наедать	наесть
наедаться	наесться
наезжать	наехать
наезжать*	наездить
наезживать	наездить*
нажаривать	нажарить
нажариваться	нажариться
нажевывать	нажевать
наживать	нажить
наживаться	нажиться
наживлять	наживить
нажигать	нажечь
нажигаться	нажечься
нажиливаться	нажилиться
нажимать	нажать
нажинать	нажать*
нажирать	нажрать
нажираться	нажраться
назначать	назначить
назревать	назреть
назубривать	назубрить
называть	назвать
называться	назваться
наигрывать	наиграть
наименовывать	наименовать
наказывать	наказать
накаливать	накалить*
накаливаться	накалиться*
накалывать	наколоть
накалываться	наколоться
накалять	накалить
накаляться	накалиться
накапливать	накопить*
накапливаться	накопиться
накапчивать	накоптить
накапывать	накопать
накапывать*	накапать
накатывать	накатать
накатывать*	накатить
накатываться	накатиться
накачивать	накачать
накачиваться	накачаться
накашивать	накосить
наквашивать	наквасить
накидывать	накинуть
накидывать*	накидать
накидываться	накинуться
накипать	накипеть
накисать	накиснуть
накладывать	наложить
наклевывать	наклюнуть
наклевывать*	наклевать
наклевываться	наклюнуться
наклеивать	наклеить
наклеиваться	наклеиться
наклепывать	наклепать
накликать	накликать
накликивать	накликать*
наклонять	наклонить
наклоняться	наклониться
наковывать	наковать
наковыривать	наковырять
наколачивать	наколотить
наколдовывать	наколдовать*
наколупывать	наколупать
накоплять	накопить*
накопляться	накопиться*
накорчевывать	накорчевать
накрадывать	накрасть
накраивать	накроить
накрапывать	накрапать
накрахмаливать	накрахмалить*
накрахмаливаться	накрахмалиться
накрашивать	накрасить
накрашивать*	накрошить
накрашиваться	накраситься
накренять	накренить
накреняться	накрениться
накручивать	накрутить
накручиваться	накрутиться
накрывать	накрыть
накрываться	накрыться
накупать	накупить
накуривать	накурить
накуриваться	накуриться
накусывать	накусать
накутывать	накутать
накутываться	накутаться
налавливать	наловить
налагать	наложить*
налаживать	наладить
налаживаться	наладиться
налакировывать	налакировать
наламывать	наломать
налегать	налечь
належивать	належать
налезать	налезть
налеплять	налепить
налепляться	налепиться
налетать	налететь
наливать	налить
наливаться	налиться
нализываться	нализаться
налиновывать	налиновать
налипать	налипнуть
налущивать	налущить
наляпывать	наляпать
намагничивать	намагнитить
