абажур	lampshade
застыть	jelly
застыть	harden
засунуть	shove in
засунуть	push in
засуха	drought
засучить	roll up
засушить	dry
засушливый	droughty
засушливый	arid
засыпать	fill in
засыпать	cover
засыпать	heap
затаённый	secret
затаённый	repressed
затаить	repress
затасканный	hackneyed
затасканный	trite
затащить	drag somewhere
затвердевший	hardened
затвердение	callosity
затвердеть	harden
затвердить	learn by heart
затвор	lock
затвор	bolt
затвор	breech­block
затвор	breech­piece
затворять	close
затейливый	ingenious
затейливый	fanciful
затем	then
затем	after that
затемнение	darkening
затемнение	black­out
затемнить	darken
затемнить	black out
затемнить	obscure
затемно	before dawn
затемно	before daybreak
затереть	rub clean
затереть	jam
затереть	wedge
затерять	mislay
затеряться	be mislaid
затея	ploy
затея	scheme
затеять	get up to smth
затихнуть	calm down
затишье	calm
затишье	lull
заткнуть	stop up
затмение	eclipse
затмить	eclipse
зато	but
зато	on the other hand
затоваривание	overstock
затоваривание	glut
затолкать	push into
затонуть	be submerged
затонуть	sink
затопить	make the fire
затопить	flood
затопить	submerge
затопить	sink
затоптать	trample down
затор	block
затор	jam
затор	traffic jam
затормозить	brake
затормозить	apply the brake
заточить	imprison
затравить	hunt down
затравить	wear down by persecution
затрата	expenditure
затрачивать	spend
затребовать	request
затребовать	send an order
затребовать	write
затронуть	affect
затронуть	touch
затруднение	difficulty
затруднительный	difficult
затруднять	make difficult
затруднять	impede
затруднять	make difficulties
затруднять	embarrass
затуманиться	grow dim
затушёвывать	shade in
затхлый	musty
затхлый	mouldy
затхлый	musty
затхлый	stagnant
затылок	back of the head
затяжка	inhalation
затяжка	protraction
затяжка	prolongation
затяжной	long­drawn
затяжной	protracted
затянуть	tighten
затянуть	drag out
затянуть	begin to sing
затянуться	be delayed
затянуться	heal
затянуться	close up
затянуться	inhale
заунывный	mournful
заунывный	doleful
заурядный	nothing out of the ordinary
заурядный	mediocre
зафиксировать	fix
захват	seizure
захват	capture
захват	usurpation
захватить	take
захватить	capture
захватить	seize
захватчик	invader
захворать	be taken ill
захворать	fall ill
захлёбываться	choke
захлёстывать	swamp
захлопнуть	slam
захлопнуть	bang
захлопнуться	slam
захлопнуться	close with a bang
заход	sunset
заход	stop
захолустный	remote
захолустье	remote place
захолустье	out­of­the­way place
захотеть	wish
захохотать	burst out laughing
захудалый	shabby
зацветать	break out into blossom
зацепить	get a hold
зацепить	catch
зацепиться	get caught
зачастую	often
зачастую	frequently
зачатие	conception
зачаточный	rudimentary
зачем	why
зачем	what for
зачем­то	for some reason or other
зачеркнуть	cross out
зачерпывать	scoop up
зачерстветь	become stale
зачёт	test
зачинщик	instigator
зачислять	include
зачислять	list
зачислять	enter
зачислять	put on a list
зачислять	enlist
зачислять	enrol
зачитываться	become engrossed in reading
зачитываться	be absorbed in a book
зашататься	stagger
зашить	sew up
зашнуровать	lace up
заштопать	darn
защита	defence
защита	protection
защита	cover
защитить	defend
защитить	protect
защитить	stand up
защитник	protector
защитник	defender
защитник	back
защитник	counsel for the defence
защитный	protective
защитный	khaki
защищать	speak in support
защищать	plead
защищать	act as counsel for the defence
защищаться	defend oneself
заявить	declare
заявка	claim
заявка	application
заявление	statement
заявление	declaration
заявление	application
заядлый	inveterate
заяц	hare
звание	rank
звание	title
звать	call
звать	be called
звать	invite
звать	ask
звезда	star
звёздный	starry
звенеть	ring
звено	link
звено	section
зверинец	menagerie
звериный	beast bestial
зверский	brutal
зверство	brutality
зверство	atrocity
зверствовать	commit atrocities
зверь	beast
звон	ringing
звонить	ring
звонить	ring up
звонить	phone
звонкий	ringing
звонкий	clear
звонок	bell
звук	sound
звукоулавливатель	range finder for sound
звукоулавливатель	sound­locator
звучать	sound
звучать	resound
звучать	be heard
звучный	sonorous
звучный	resonant
звякнуть	tinkle
звякнуть	jingle
звякнуть	clink
здание	building
здесь	here
здешний	local
здороваться	greet
здороваться	bow
здорово	well done
здорово	fine
здоровый	healthy
здоровый	strong
здоровый	wholesome
здоровье	health
здравица	toast
здравница	health resort
здраво	soundly
здраво	sensibly
здравомыслящий	sensible
здравоохранение	public health
здравствуйте	how do you do
здравствуйте	hello
здравствуйте	good morning
здравствуйте	good afternoon
здравствуйте	good evening
здравый	sensible
зебра	zebra
зев	pharynx
зевака	idler
зевнуть	yawn
зевота	yawn
зеленеть	turn green
зеленеть	show green
зелёный	green
зелень	verdure
землевладелец	landowner
земледелец	farmer
земледелие	agriculture
земледельческий	agricultural
землекоп	navvy
землемер	land­surveyor
землетрясение	earthquake
землеустройство	organization of the use of land
землечерпалка	dredge
землистый	earthy
земля	earth
земля	land
земля	ground
земляк	countryman
землянка	dug­out
земляной	earthen
земной	earthly
зенит	zenith
зеркало	looking­glass
зеркало	mirror
зеркальный	mirror unruffled
зернистый	granular
зернистый	grained
зерно	grain
зерно	corn
зерновые	cereals
зернохранилище	granary
зигзаг	zigzag
зигзагообразный	zigzag
зима	winter
зимний	winter wintry
зимовать	spend the winter
зимовать	hibernate
зимовка	wintering
зимовка	polar station
зимой	in winter
зияние	hiatus
зиять	gape
злаки	cereals
злить	anger
злить	irritate
злиться	be in a bad temper
злиться	be angry
зло	evil
зло	harm
зло	maliciously
злоба	spite
злоба	anger
злобный	malicious
зловещий	ominous
зловоние	stink
зловоние	stench
зловонный	fetid
зловонный	stinking
зловредный	vicious
злодей	villain
злодей	scoundrel
злодейский	villainous
злодеяние	crime
злодеяние	atrocity
злой	wicked
злой	malicious
злой	bad­tempered
злокачественный	malignant
злонамеренный	malicious
злопамятный	full of rancour
злополучный	ill­starred
злорадный	gloating
злословие	malicious gossip
злостный	malicious
злость	malice
злоумышленник	malefactor
злоупотребление	abuse
злоупотреблять	abuse
змеиный	snake's
змеиный	serpent's
змея	snake
знак	sign
знак	token
знак	symbol
знак	mark
знак	omen
знак	signal
знакомить	acquaint
знакомить	introduce
знакомиться	meet
знакомиться	make the acquaintance
знакомиться	acquaint oneself
знакомиться	see
знакомиться	get to know
знакомиться	visit
знакомство	acquaintance
знакомый	familiar
знакомый	acquaintance
знаменатель	denominator
знаменательный	significant
знаменательный	noteworthy
знаменитость	fame
знаменитость	celebrity
знаменитый	famous
знаменовать	mark
знаменовать	signify
знаменосец	standard bearer
знамя	banner
знамя	flag
знамя	standard
знание	knowledge
знатный	notable
знатный	distinguished
знатный	noble
знаток	expert
знаток	connoisseur
знать	know
значение	meaning
значение	significance
значение	importance
значит	so
значит	well then
значительный	considerable
значительный	important
значить	mean
значить	signify
значок	badge
значок	emblem
значок	sign
значок	mark
знающий	learned
знающий	erudite
знающий	expert
знающий	skilful
зной	intense heat
знойный	hot
знойный	sultry
зоб	crop
зоб	goitre
зов	call
зов	summons
зодчий	architect
золовка	sister­in­law
золотистый	like gold
золотистый	of golden colour
золотник	slide
золотник	valve
золото	gold
золотой	gold
золотой	made of gold
золотоносный	gold­bearing
золотоносный	auriferous
золотопромышленность	gold industry
золотуха	scrofula
зона	zone
зонд	probe
зондировать	sound
зонтик	umbrella
зонтик	sunshade
зонтик	parasol
зоолог	zoologist
зоологический	zoological
зоология	zoology
зоркий	sharp­sighted
зоркий	alert
зрачок	pupil
зрелище	sight
зрелище	spectacle
зрелость	maturity
зрелость	ripeness
зрелый	mature
зрелый	ripe
зрение	sight
зреть	ripen
зреть	grow ripe
зреть	mature
зритель	spectator
зритель	on­looker
зрительный	optic
зрительный	visual
зря	to no purpose
зря	for nothing
зрячий	one who can see
зуб	tooth
зубастый	biting
зубастый	sarcastic
зубец	tooth
зубец	cog
зубной	tooth dental
зубочистка	toothpick
зубрить	learn by rote
зубрить	cram
зубчатый	cogged
зуд	itch
зыбкий	unsteady
зыбь	ripple
зычный	loud
зычный	stentorian
зябкий	sensitive to cold
зябнуть	suffer from cold
зябь	ploughland
зять	son­in­law
зять	brother­in­law
и	and
и	and then
и	and to think that
и	and so
и	it is what
и	too
и	either
и	neither
ибо	because
ибо	for
ива	willow
иволга	oriole
игла	needle
игла	knitting­needle
игла	gramophone needle
игла	quill
игла	spine
игнорировать	ignore
игнорировать	disregard
иго	yoke
игра	play
игра	game
игра	acting
игра	performance
игра	playing
играть	play
играть	act
игривый	playful
игрок	player
игрок	gambler
игрушка	toy
игрушка	plaything
идеал	ideal
идеализировать	idealize
идеализм	idealism
идеалист	idealist
идеалистический	idealist
идеалистический	idealistic
идеальный	ideal
идейный	ideological
идейный	committed to philosophical principles
идеолог	ideologist
идеологический	ideological
идеология	ideology
идея	idea
идея	notion
идея	concept
идиллия	idyll
идиома	idiom
идиоматический	idiomatic
идиот	idiot
идиотизм	idiocy
идиотский	idiotic
идол	idol
идти	go
идти	walk
идти	follow
идти	go by
идти	pass
идти	come out
идти	go on
идти	proceed
идти	become
идти	suit
идти	be on
идти	enter
иезуит	Jesuit
иероглиф	hieroglyph
иждивенец	dependant
из	from
из	out
из	out of
из	from
из	of
из	out of
из	in
из	of
из	for
из	out of
из	through
изба	peasant's house
изба	cottage
избавитель	deliverer
избавить	save
избавиться	get rid
избавление	deliverance
избавление	rescue
избалованный	spoilt
избаловать	spoil
изба­читальня	village library
избегать	shun
избежать	avoid
избежать	elude
избежать	evade
избиение	beating
избиение	massacre
избиратель	elector
избиратель	voter
избирательный	electoral
избитый	beaten
избитый	trite
избитый	banal
избрание	election
избранный	selected
избрать	choose
избрать	elect
избушка	small hut
избыток	abundance
избыток	plenty
избыток	surplus
избыточный	superfluous
изваяние	statue
изваяние	carved image
изведать	experience
изведать	come to know
изверг	monster
извергать	throw up
извергаться	erupt
извержение	eruption
извести	exhaust
известие	news information
известить	inform
известить	let know
известно	it is known
известность	fame
известность	reputation
известный	known
известный	well­known
известный	famous
известный	notorious
известный	certain
известняк	limestone
известь	lime
извечный	perennial
извещение	notification
извещение	summons
извиваться	wind
извиваться	twist
извилина	bend
извилистый	winding
извилистый	twisty
извинение	pardon
извинение	apology
извинение	excuse
извинить	excuse
извиняться	beg pardon
извлечение	extraction
извлечь	extract
извне	from outside
извозчик	cab
извозчик	cabman
изворачиваться	dodge
изворотливый	resourceful
извращать	pervert
извращение	perversion
извращение	distortion
изгадить	befoul
изгадить	spoil utterly
изгиб	crook
изгиб	bend
изглаживать	efface
изгнание	exile
изгнанник	exile
изгнать	oust
изгнать	banish
изгнать	exile
изголовье	head of the bed
изголодаться	starve
изголодаться	thirst
изголодаться	yearn
изгородь	fence
изготовить	make
изготовить	produce
изготовить	manufacture
изготовление	making
изготовление	manufacture
издавна	long since
издали	from afar
издали	from far away
издание	publication
издание	edition
издатель	publisher
издательство	publishing house
издательство	publishers
издать	publish
издать	promulgate
издать	utter
издевательство	mockery
издеваться	mock
издёвка	sneer
изделие	article
издержать	spend
издержаться	spend everything
издержки	expenses
издержки	costs
издыхать	die
издыхать	croak
изжить	overcome
изжить	get rid
изжога	heartburn
из­за	from
из­за	because of
излечение	recovery
излечение	after­treatment
излечимый	curable
излечить	cure
излить	pour out
излишек	surplus
излишество	excess
излишний	superfluous
излишний	unnecessary
излияние	outpouring
изловчиться	contrive somehow
изложение	account
изложение	exposition
изложить	give an account
изложить	state
изломанный	broken
изломать	break
излучать	radiate
излучать	give off
излучение	radiation
излучина	bend
излюбленный	favourite
измазать	smear
измазаться	get very dirty
измельчить	cut very small
измельчить	crush very small
измельчить	pound
измена	treason
измена	treachery
измена	unfaithfulness
изменение	change
изменение	alteration
изменение	modification
изменить	change
изменить	alter
изменить	be false
изменить	be unfaithful
изменить	betray
измениться	change
изменник	traitor
изменчивый	changeable
изменчивый	unsteady
изменчивый	fickle
измерение	measuring
измерение	dimension
измеримый	measurable
измеритель	gauge
измерять	measure
измерять	sound
измерять	survey
измождённый	emaciated
измождённый	exhausted
изморозь	hoar­frost
измученный	worn out
измучить	weary
измучить	tire out
измучиться	be worried
измучиться	be tired out
измышление	fabrication
измышлять	fabricate
измять	crush badly
измять	crumple
изнанка	the wrong side
изнасиловать	rape
изнасиловать	violate
изнеженный	coddled
изнеженный	effeminate
изнемогать	be exhausted
изнемогать	be dead tired
изнеможение	exhaustion
износ	wear
износ	wear and tear
износить	wear out
износиться	be worn out
износиться	be used up
изношенный	shabby
изношенный	threadbare
изношенный	worn­out
изнурять	exhaust
изнутри	from within
изнутри	on the inside
изнутри	from the inside
изнывать	pine
изобилие	abundance
изобиловать	abound
изобличение	exposure
изобличить	expose
изобличить	unmask
изображение	representation
изображение	portrayal
изображение	picture
изображение	image
изображение	imprint
изобразить	represent
изобразить	picture
изобразить	portray
изобрести	invent
изобрести	contrive
изобретатель	inventor
изобретательный	inventive
изобретение	invention
изогнутый	curved
изогнутый	bent
изогнуть	bend
изодранный	torn to shreds
изодранный	in ribbons
изодрать	tear to bits
изолгаться	have become a hopeless liar
изолировать	isolate
изолировать	insulate
изолятор	insulator
изолятор	isolation ward
изоляция	isolation
изоляция	insulation
изорвать	tear to pieces
изощрённый	refined
изощряться	excel
из­под	from under
изразец	tile
израсходовать	spend
израсходовать	use up
изредка	now and then
изредка	from time to time
изрезывать	cut to pieces
изречение	saying
изречение	aphorism
изречение	dictum
изречь	utter
изречь	speak pompously
изрубить	cut in very small pieces
изрубить	mince
изругать	revile
изрыть	dig holes everywhere
изрядно	considerably
изувечить	cripple
изумительный	amazing
изумить	amaze
изумиться	be amazed
изумление	amazement
изумлённый	surprised
изумруд	emerald
изуродованный	disfigured
изуродовать	disfigure
изучение	study
изучить	learn
изучить	study
изучить	master
изъездить	travel all over
изъявлять	express
изъян	defect
изъятие	confiscation
изъятие	withdrawal
изъятие	exemption
изымать	confiscate
изымать	withdraw
изымать	exempt
изыскание	investigation
изыскание	research
изысканный	refined
изыскать	find
изыскивать	try to find
изюминка	little raisin
изящество	grace
изящный	graceful
изящный	elegant
икнуть	hiccup
икона	icon
икота	hiccup
икра	spawn
икра	roe
икра	caviar
икра	calf
ил	silt
или	or
иллюзия	illusion
иллюминатор	porthole
иллюминация	illumination
иллюминировать	illuminate
иллюстративный	illustrative
иллюстрация	illustration
иллюстрированный	illustrated
иллюстрировать	illustrate
имбирь	ginger
имение	estate
имение	country property
именно	just
именно	exactly
именно	namely
иметь	have
иметь	possess
иметься	havethere isthere are
имитация	imitation
имитировать	imitate
иммигрант	immigrant
иммиграция	immigration
иммунитет	immunity
император	emperor
империализм	imperialism
империалист	imperialist
империалистический	imperialistic
империя	empire
импонировать	impress
импонировать	make an impression
импорт	import
импортировать	import
импортный	imported
импровизация	improvisation
импровизировать	improvise
импульс	impulse
импульс	urge
имущество	property
имущий	propertied
имущий	wealthy
имя	name
иначе	or
иначе	otherwise
иначе	differently
иначе	in another way
инвалид	invalid
инвалид	disabled person
инвалидность	disablement
инвентарь	inventory
инвентарь	stock
индеец	Indian
индейский	Indian
индекс	index
индивидуальный	individual
индиец	Indian
индийский	Indian
индонезиец	Indonesian
индонезийский	Indonesian
индус	Hindu
индусский	Hindu
индустриализация	industrialization
индустриальный	industrial
индустрия	industry
индюк	turkey
индюшка	turkey
иней	hoar­frost
инертность	inertness
инертность	passivity
инертный	inert
инертный	passive
инерция	inertia
инженер	engineer
инженер­механик	mechanical engineer
инженер­строитель	civil engineer
инициалы	initials
инициатива	initiative
инициатор	initiator
инквизиция	inquisition
инкубатор	incubator
иногда	sometimes
иногда	at times
иногородний	of another town
иноземец	foreigner
иноземец	stranger
иноземный	foreign
иной	different
иной	other
иной	another
иной	some
инородный	foreign
инородный	alien
иносказательный	allegorical
иностранец	foreigner
иностранный	foreign
инспектор	inspector
инспекция	inspection
инспирировать	inspire
инстанция	instance
инстинкт	instinct
инстинктивный	instinctive
институт	institute
инструктировать	instruct
инструктор	instructor
инструмент	instrument
инструмент	tool
инструмент	implement
инструмент	tools
инструментальный	instrumental
инструментальный	tool­making
инсценировать	dramatize
инсценировать	stage
инсценировать	feign
инсценировать	frame up
инсценировка	dramatization
инсценировка	staging
интеллект	intellect
интеллектуальный	intellectual
интеллигентный	cultured
интеллигенция	intelligentsia
интендант	quartermaster
интенсивный	intensive
интервал	interval
интервент	aggressor
интервенция	armed intervention
интервью	interview
интерес	interest
интересно	interestingly
интересно	it is interesting
интересный	interesting
интересный	good­looking
интересный	attractive
интересовать	interest
интересоваться	take an interest
интересоваться	be interested
интернат	boarding­school
Интернационал	the Internationale
интернационал	International
интернационализм	internationalism
интернациональный	international
интернировать	intern
интерпретация	interpretation
интерпретировать	interpret
интимный	intimate
интонация	intonation
интрига	intrigue
интрига	plot
интриговать	intrigue
интриговать	scheme
интриговать	rouse smb's curiosity
интриговать	intrigue smb
интуиция	intuition
инфекционный	infectious
инфекция	infection
инфекция	contagion
инфинитив	infinitive
инфляция	inflation
информация	information
информбюро	information bureau
информировать	inform
инцидент	incident
инъекция	injection
ипподром	race­course
иприт	mustard gas
иранец	Iranian
иранский	Iranian
ирландец	Irishman
ирландский	Irish
иронизировать	speak ironically
иронический	ironical
ирония	irony
ирригация	irrigation
иск	action
иск	suit
искажать	distort
искажать	misrepresent
искажение	distortion
искажение	misrepresentation
искажённый	distorted
искалечить	cripple
искать	look
искать	search
исключение	expulsion
исключение	exception
исключительно	solely
исключительно	exceptional
исключительный	exceptional
исключить	exclude
исключить	except
исключить	expel
исключить	strike off
исковеркать	deform
исколесить	roam
исколесить	travel all over
ископаемое	fossil
искоренять	root out
искоренять	eradicate
искоренять	exterminate
искоса	askance
искра	spark
искренне	sincerely
искренне	frankly
искренне	from the heart
искренний	sincere
искренность	sincerity
искривить	bend
искривить	distort
искривиться	twist
искривиться	become distorted
искривление	bend
искривление	distortion
искривлённый	bent
искривлённый	distorted
искриться	sparkle
искриться	scintillate
искромсать	slash
искромсать	cut askew
искромсать	make a hash of cutting
искрошить	crumble
искупить	expiate
искупить	atone
искупление	expiation
искусный	skilful
искусственный	artificial
искусственный	man­made
искусство	art
искусство	skill
искушать	tempt
искушение	temptation
искушённый	schooled
Ислам	Islam
исландец	Icelander
исландский	Iceland Icelandic
испанец	Spaniard
испанский	Spanish
испарение	evaporation
испарина	perspiration
испаряться	evaporate
испаряться	vaporize
испачкать	make dirty
испачкаться	get dirty
испечь	bake
испещрённый	covered
испещрять	cover
исписывать	cover with writing
исписывать	use up
испитой	hollow­cheeked
испитой	emaciated
исповедовать	confess
исповедь	confession
исподтишка	on the sly
исподтишка	stealthily
исполин	giant
исполинский	gigantic
исполком	executive committee
исполнение	fulfilment
исполнение	execution
исполнение	performance
исполнение	performance
исполнение	rendering
исполнимый	feasible
исполнитель	executor
исполнитель	performer
исполнительный	executive
исполнительный	careful
исполнительный	painstaking
исполнительный	thorough
исполнить	carry out
исполнить	fulfil
исполнить	perform
исполнить	act
исполнить	play
исполниться	come true
использование	utilization
использование	use
использовать	use
испортить	spoil
испортиться	deteriorate
испортиться	be spoiled
испортиться	go bad
испорченный	spoilt
испорченный	depraved
исправить	correct
исправить	improve
исправить	repair
исправиться	improve
исправиться	reform
исправление	correction
исправность	assiduity
исправность	good condition
исправный	assiduous
исправный	conscientious
исправный	in repair
исправный	in order
испуг	fright
испуг	fear
испуганный	frightened
испуганный	startled
испугать	frighten
испугать	scare
испугаться	get frightened
испустить	emit
испустить	utter
испустить	give off
испытание	trial
испытание	test
испытание	examination
испытание	ordeal
испытанный	tried
испытанный	tested
испытывать	try
испытывать	test
испытывать	feel
испытывать	experience
исследование	investigation
исследование	research
исследование	exploration
исследование	examination
исследование	study
исследование	essay
исследователь	investigator
исследователь	explorer
исследовать	investigate
исследовать	explore
исследовать	analyse
исстари	from old times onwards
исступление	frenzy
исступлённый	frenzied
иссушить	dry up
иссякнуть	dry up
иссякнуть	run low
истекший	last
истекший	past
истерзанный	disfigured
истерзанный	worn out
истерика	hysterics
истерический	hysterical
истец	plaintiff
истечение	expiration
истечь	expire
истина	truth
истинный	true
истлеть	rot
истлеть	decay
истлеть	be reduced to ashes
исток	source
истолковать	interpret
истолковать	comment
истолочь	pound
истома	languor
истомиться	be worn out
истомлённый	tired
истомлённый	weary
истопник	stoker
историк	historian
исторический	historic
история	history
история	story
источник	spring
источник	source
истощение	exhaustion
истощённый	exhausted
истощённый	worn out
истощить	exhaust
истратить	spend
истратить	waste
истратить	squander
истребитель	fighter
истребительный	destructive
истребить	destroy
истребить	exterminate
истребление	destruction
истребление	extermination
истрепать	wear out
истрепать	tear
истрепаться	be torn out
истый	true
истязание	torture
истязать	torture
исход	outcome
исход	result
исходить	go all over
исходить	proceed
исходить	originate
исходный	initial
исхудалый	emaciated
исхудать	become emaciated
исцеление	cure
исцеление	recovery
исцелять	cure
исцелять	make well
исчезновение	disappearance
исчезнуть	disappear
исчезнуть	vanish
исчерпывать	exhaust
исчерпывающий	exhaustive
исчисление	calculation
исчислять	calculate
итак	thus
итак	so
итак	and so
итальянец	Italian
итальянский	Italian
д	etc
д	and so on
итог	sum
итог	total
итог	result
итого	altogether
итого	in all
п	and the like
п	etc
их	their
их	theirs
ишак	ass
ишиас	sciatica
ищейка	bloodhound
ищейка	police dog
июль	July
июнь	June
йог	yogi
йод	iodine
йодистый	iodic
йодоформ	iodoform
йота	iota
йота	jot
к	to
к	towards
к	by
к	for
к	of
к	to
к	for
кабала	servitude
кабала	bondage
кабан	wild boar
кабачок	vegetable marrow
кабачок	squash
кабачок	small restaurant
кабель	cable
кабина	cabin
кабинет	study
кабинет	cabinet
каблук	heel
каботаж	coasting trade
каботаж	cabotage
каботажный	coastal
кавалерист	cavalryman
кавалерия	cavalry
каверзный	tricky
кавказский	Caucasian
кавычки	inverted commas
кавычки	quotation marks
кадка	tub
кадр	still
кадр	frame
кадровый	regular
кадры	basic personnel staff
кадры	specialists
кадык	Adam's apple
каждодневный	daily
каждодневный	everyday
каждый	each
каждый	every
каждый	everyone
кажется	it seems
казак	Cossack
казармы	barracks
казаться	seem
казаться	look
казах	Kazakh
казахский	Kazakh
казённый	state government formal
казна	treasury
казначей	treasurer
казнить	execute
казнь	execution
кайма	edging
кайма	border
как	how
как	what
как	as
как	like
какао	cocoa
как­нибудь	somehow
как­нибудь	in some way or other
как­нибудь	some time
как­нибудь	anyhow
каков	what
каково	how
какой	what
какой	which
какой­нибудь	some
какой­нибудь	any
какой­нибудь	about
какой­нибудь	some
какой­то	some
какой­то	a kind of
какой­то	something like
как­то	one day
как­то	somehow
каламбур	pun
каланча	watch­tower
калека	cripple
календарь	calendar
каление	incandescence
калечить	cripple
калибр	calibre
калибр	gauge
калий	potassium
калина	guelder­rose
калитка	wicket
калория	calorie
калька	tracing­paper
калькуляция	calculation
кальсоны	drawers
кальсоны	pants
кальций	calcium
каменистый	stony
каменистый	rocky
каменоломня	quarry
каменщик	mason
каменщик	bricklayer
камень	stone
камера	cell
камера	ward
камера	camera
камера	chamber
камертон	tuning fork
камин	fire­place
каморка	closet
каморка	cell
кампания	campaign
камфара	camphor
камыш	reed
канава	ditch
канава	gutter
канава	drain
канадец	Canadian
канадский	Canadian
канал	canal
канал	channel
канализация	sewerage
канарейка	canary
канат	rope
канат	cable
канва	canvas
канва	groundwork
кандалы	shackles
кандалы	fetters
кандидат	candidate
кандидатура	candidature
каникулы	holidays
каникулы	vacation
каникулы	recess
канонерка	gunboat
кант	piping
канун	eve
канцелярия	office
канцелярский	office clerical
капать	drop
капать	drip
капельдинер	usher
капельдинер	box­keeper
капельдинер	box attendant
капелька	droplet
капитал	capital
капитализм	capitalism
капиталист	capitalist
капиталистический	capitalist
капиталовложение	investment
капитальный	capital
капитан	captain
капитулировать	capitulate
капитуляция	capitulation
капкан	trap
капля	drop
каприз	whim
каприз	caprice
капризничать	be capricious
капризный	capricious
капризный	uncertain
капрон	kapron
капсула	capsule
капуста	cabbage
капюшон	hood
кара	retribution
карабкаться	clamber
каравай	round loaf
караван	caravan
караван	convoy
каракуль	astrakhan
карамель	caramel
карандаш	pencil
карантин	quarantine
карапуз	tot
карапуз	little fellow
карась	crucian
карательный	punitive
карать	punish
карать	visit with retribution
караул	guard
караулить	guard
караулить	watch
карбюратор	carburettor
карел	Karelian
карельский	Karelian
карета	carriage
карета	coach
карий	brown
карий	hazel
карикатура	caricature
карикатура	cartoon
каркас	framework
каркнуть	croak
каркнуть	caw
карлик	dwarf
карликовый	dwarfish
карман	pocket
карманник	pick­pocket
карнавал	carnival
карниз	cornice
карп	carp
картавить	speak with a burr
картель	cartel
картечь	case­shot
картина	picture
картина	oil­painting
картина	scene
картинка	print
картинка	illustration
картинный	picturesque
картон	cardboard
картонка	cardboard hat­box
картотека	card index
карточка	card
картуз	peaked cap
карусель	merry­go­round
карцер	punishment room
карцер	detention house
карьер	rapid gallop
карьер	full gallop
карьер	quarry
карьер	sand­pit
карьера	career
карьерист	careerist
карьером	at full speed
касательная	tangent
касаться	touch
касаться	touch
касаться	concern
каска	helmet
касса	booking­office
касса	cash­desk
касса	box­office
кассация	appeal
кассета	cassette
кассир	cashier
каста	caste
кастрация	castration
кастрация	emasculation
кастрировать	castrate
кастрюля	saucepan
кастрюля	pot
каталог	catalogue
катание	driving
катар	catarrh
катаракта	cataract
катастрофа	catastrophe
катастрофический	catastrophic
катать	drive
катать	take for a drive
катать	roll out
кататься	go for a drive
катафалк	hearse
катафалк	bier
категорически	categorically
категорический	categorical
категорический	explicit
категория	category
катер	cutter
катет	cathetus
катить	roll
катод	cathode
катодный	cathodic
каток	skating­rink
католик	Catholic
каторга	penal servitude
каторга	hard labour
каторжанин	ex­convict
каторжник	convict
катушка	bobbin
катушка	spool
катушка	coil
каучук	rubber
каучуконосы	rubber­bearing plants
кафе	cafe
кафедра	faculty
качалка	rocking­chair
качание	swinging
качание	rocking
качать	rock
качать	swing
качать	shake
качать	pump
качаться	rock
качаться	swing
качаться	stagger
качественный	qualitative
качество	quality
качка	tossing
качка	rolling
качка	pitching
качнуться	sway
каша	gruel
каша	porridge
каша	mess
каша	jumble
кашель	cough
кашлять	cough
кашне	muffler
кашне	scarf
каштан	chestnut
каюта	cabin
каюта	state­room
каяться	repent
квадрат	square
квадратный	square
квакнуть	croak
квалификация	level of proficiency
квалификация	professional skill
квалификация	qualification
квалифицированный	skilled
квалифицированный	qualified
квалифицировать	evaluate
квалифицировать	estimate
квартал	block
квартал	quarter
квартет	quartet
квартира	flat
квартира	apartment
квартирант	lodger
кварц	quartz
квас	kvass
квашеный	sour
квашеный	leavened
кверху	up
кверху	upwards
квитанция	receipt
квиты	quits
кворум	quorum
кегли	skittles
кедр	cedar
кекс	cake
келья	cell
кенгуру	kangaroo
кепка	cap
керамика	ceramics
керамический	ceramic
керосин	paraffin
керосин	kerosene
керосинка	oil­stove
кета	Siberian salmon
кивнуть	nod
кивок	nod
кий	cue
киловатт	kilowatt
килограмм	kilogram
километр	kilometer
киль	keel
килька	sprat
кинематография	cinematography
кинжал	dagger
кино	cinema
кино	movies
киноартист	film actor
киножурнал	news­reel
кинозритель	film­goer
кинооператор	cameraman
кинорежиссёр	motion picture producer
киностудия	film studio
киносценарий	scenario
киносценарий	film script
киносъёмка	filming
кинотеатр	cinema
кинофильм	film
кинохроника	news­reel
кинуть	throw
кинуть	cast
кинуться	throw oneself
киоск	kiosk
киоск	booth
кипа	pile
кипа	stack
кипа	bale
кипа	pack
кипарис	cypress
кипение	boiling
кипеть	boil
кипучий	boiling
кипучий	tireless
кипятильник	immersion heater
кипятить	boil
кипятиться	be boiled
кипятиться	be excited
кипяток	boiling water
кипячёный	boiled
киргиз	Kirghiz
киргизский	Kirghiz
кирка	pickaxe
кирпич	brick
кисель	kissel
кисет	tobacco­pouch
кислород	oxygen
кислородный	oxygenous
кислота	acid
кислый	sour
кисточка	brush
кисть	brush
кисть	bunch
кисть	hand
кисть	tassel
кит	whale
китаец	Chinese
китаец	Chinaman
китайский	Chinese
кичиться	boast
кичиться	show off
кичливость	arrogance
кичливый	arrogant
кишеть	throng
кишеть	teem
кишечный	intestinal
кишка	intestine
клавиатура	keyboard
клавиш	key
клад	treasure
